"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 08, 2008","536.34","539.36","539.36","524.51","304.83M","-0.56%"
"Aug 07, 2008","539.36","547.35","553.79","539.13","302.10M","-1.46%"
"Aug 06, 2008","547.37","537.12","548.25","535.47","347.09M","1.91%"
"Aug 05, 2008","537.12","531.53","538.68","525.17","394.48M","1.05%"
"Aug 04, 2008","531.54","558.62","558.72","528.08","380.23M","-4.85%"
"Aug 01, 2008","558.64","560.76","570.93","555.36","287.72M","-0.38%"
"Jul 31, 2008","560.76","580.58","580.58","559.98","366.61M","-3.42%"
"Jul 30, 2008","580.60","549.85","581.31","546.73","408.29M","5.59%"
"Jul 29, 2008","549.85","554.07","554.93","543.12","333.57M","-0.81%"
"Jul 28, 2008","554.33","556.88","565.89","554.29","273.22M","-0.46%"
"Jul 25, 2008","556.88","551.39","564.50","550.61","310.37M","1.00%"
"Jul 24, 2008","551.39","554.60","561.50","542.13","500.46M","-0.58%"
"Jul 23, 2008","554.60","576.70","577.13","551.80","441.80M","-3.83%"
"Jul 22, 2008","576.70","589.64","589.64","571.52","370.96M","-2.19%"
"Jul 21, 2008","589.64","572.83","589.66","571.71","291.41M","2.93%"
"Jul 18, 2008","572.83","564.26","578.41","564.26","352.65M","1.52%"
"Jul 17, 2008","564.28","573.40","582.53","553.36","436.58M","-1.59%"
"Jul 16, 2008","573.40","585.52","585.83","564.81","387.21M","-2.07%"
"Jul 15, 2008","585.52","611.11","611.11","584.91","324.40M","-4.19%"
"Jul 14, 2008","611.12","606.52","617.64","603.42","224.54M","0.76%"
"Jul 11, 2008","606.52","610.97","615.50","597.75","302.66M","-0.73%"
"Jul 10, 2008","610.97","595.03","611.06","588.60","321.24M","2.68%"
"Jul 09, 2008","595.03","607.88","618.50","594.80","316.31M","-2.11%"
"Jul 08, 2008","607.88","617.42","617.42","594.03","396.12M","-1.55%"
"Jul 07, 2008","617.42","631.93","635.27","610.64","322.74M","-2.30%"
"Jul 03, 2008","631.93","634.88","642.53","621.08","244.77M","-0.46%"
"Jul 02, 2008","634.88","656.08","663.74","634.82","398.87M","-3.23%"
"Jul 01, 2008","656.08","652.00","656.11","643.86","292.92M","0.63%"
"Jun 30, 2008","652.00","640.80","655.27","640.80","276.10M","1.75%"
"Jun 27, 2008","640.80","635.44","646.33","635.44","295.78M","0.84%"
"Jun 26, 2008","635.45","642.34","648.32","630.06","285.98M","-1.08%"
"Jun 25, 2008","642.37","645.50","648.55","629.37","311.51M","-0.48%"
"Jun 24, 2008","645.50","655.49","655.49","644.84","267.16M","-1.52%"
"Jun 23, 2008","655.49","631.95","655.56","631.95","269.95M","3.72%"
"Jun 20, 2008","631.95","636.67","643.93","629.65","269.21M","-0.74%"
"Jun 19, 2008","636.67","650.36","657.61","636.64","292.92M","-2.10%"
